 Output file for Statistics Values Calculation.
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION0,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION0/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION1,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION1/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION1,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION1/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION15,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION15/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION15,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION15/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION6,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION6/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION6,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION6/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION13,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION13/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION13,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION13/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,EndSectionData,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/EndSectionData/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,EndSectionData,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/EndSectionData/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION4,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION4/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION4,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION4/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION11,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION11/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION11,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION11/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION18,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION18/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION18,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION18/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION5,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION5/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION5,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION5/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P014,Section,SECTION20,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION20/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P014,Section,SECTION20,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P014/ClippedData/SECTION20/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,SECTION14,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION14/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,SECTION14,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION14/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,SECTION19,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION19/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,SECTION19,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION19/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,SECTION2,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION2/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,SECTION2,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION2/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,SECTION8,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION8/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,SECTION8,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION8/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,SECTION16,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION16/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,SECTION16,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION16/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,Baseline,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/Baseline/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,Baseline,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/Baseline/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,SECTION17,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION17/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,SECTION17,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION17/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P010,Section,SECTION21,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION21/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P010,Section,SECTION21,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P010/ClippedData/SECTION21/PERCLOS.csv',Error on line 137
